agency,agency_code,pen_year,company,city,county,street_address,state,zip,description,naics,info_source,notes,unique_id,current_parent_name,curr_ISIN,curr_cik,load_day,penalty,sub_penalty,penalty_adjusted,orig_id,civil_criminal,npa_dpa,offense_group,primary_offense,secondary_offense,naics_tr,case_id,facility_name,penalty_date,govt_level,case_category,court,litigation_case_title,lawsuit_resolution,pacer_link,reporting_date_parent,hist_ISIN,hist_cik,history_recap
Manhattan (NY) District Attorney,NY-MANDA,2014,BNP Paribas S.A.,New York,New York,,NY,,"BNP Paribas pleaded guilty and was ordered to pay $2.2 billion  to the Manhattan District Attorney's Office and the City of New York in connection with charges that it violated New York State law by conspiring to and falsifying the records of New York financial institutions, allowing clients to avoid U.S. economic sanctions meant to prohibit transactions with Sudanese, Iranian and Cuban entities. This and another $2.2 billion penalty paid directly to the state were part of a larger $8.8 billion settlement involving the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-bnp-paribas-sa",,https://www.manhattanda.org/bnp-paribas-bank-pleads-guilty-pays-883-billion-penalties-illegal-transactions/,The New York City amount is clarified in the attached settlement document.,3197897,BNP Paribas,FR0000131104,,20191124,2243400000,2243400000,0,,criminal,,financial offenses,economic sanction violation,,,,,20140630,local,agency action,,,verdict,,BNP Paribas,FR0000131104,,
Justice Department Criminal Division,DOJ_CRIMINAL,2021,Boeing Company,,,,,,"The Boeing Company entered into an agreement with the Department of Justice to resolve a criminal charge related to a conspiracy to defraud the Federal Aviation Administration's Aircraft Evaluation Group in connection with the evaluation of Boeing's 737 MAX airplane. Under the terms of the deferred prosecution agreement, Boeing will pay a total criminal monetary amount of over $2.5 billion, composed of a criminal monetary penalty of $243.6 million, compensation payments to Boeing's 737 MAX airline customers of $1.77 billion, and the establishment of a $500 million crash-victim beneficiaries fund to compensate the heirs, relatives, and legal beneficiaries of the 346 passengers who died in the Boeing 737 MAX crashes of Lion Air Flight 610 and Ethiopian Airlines Flight 302.",,https://www.justice.gov/opa/pr/boeing-charged-737-max-fraud-conspiracy-and-agrees-pay-over-25-billion,,3666280,Boeing,US0970231058,12927,20210225,2513600000,0,2513600000,,criminal,deferred prosecution agreement,competition-related offenses,fraud,,,,,20210107,federal,agency action,,,,,Boeing,US0970231058,12927,
Multistate Attorneys General Case,MULTI-AG,2015,BP,,,,,,"BP paid a total of $4.9 billion to the states of Alabama, Florida, Louisiana, Mississippi and Texas to resolve claims arising from the 2010 Deepwater Horizon oil spill in the Gulf of Mexico. This was part of the larger $20 billion settlement that also involved the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-bp",,https://www.justice.gov/opa/pr/us-and-five-gulf-states-reach-historic-settlement-bp-resolve-civil-lawsuit-over-deepwater,,3187351,BP,GB0007980591,,20190907,4900000000,4900000000,0,,civil,,environment-related offenses,environmental violation,,,,,20151005,state,agency action,,,,,BP,GB0007980591,,
Mississippi Attorney General,MS-AG,2015,BP,,,,MS,,BP agreed to pay an additional $1.5 billion to Mississippi to settle claims from the 2010 Deepwater Horizon oil spill but this was later rolled into the $20.8 billion federal-state omnibus settlement; see https://violationtracker.goodjobsfirst.org/violation-tracker/-bp,,https://web.archive.org/web/20150805041640/http://www.ago.state.ms.us/releases/mississippi-reaches-landmark-agreement-in-deepwater-horizon-oil-spill-disaster-case/,,3187354,BP,GB0007980591,,20190907,1500000000,1500000000,0,,civil,,environment-related offenses,environmental violation,,,,,20150702,state,agency action,,,,,BP,GB0007980591,,
Environmental Protection Agency,EPA,2016,BP Exploration & Production Inc. (Gulf of Mexico Oil Spill) (National Case) (Lead),,,,,,,,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 9/12/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case).,5655922,BP,GB0007980591,,20220918,3372250000,3372250000,0,06-2011-4881,civil,,environment-related offenses,environmental violation,,,06-2011-4881,,20160404,federal,agency action,,,,,BP,GB0007980591,,
Justice Department multiagency referral,DOJ,2012,BP Exploration and Production Inc.,,,,,,"BP Exploration and Production Inc. agreed to plead guilty to felony manslaughter, environmental crimes and obstruction of Congress and pay a record $4 billion in criminal fines and penalties for its conduct leading to the 2010 Deepwater Horizon disaster that killed 11 people and caused the largest environmental disaster in U.S. history, Attorney General Eric Holder announced. The 14-count information, filed in U.S. District Court in the Eastern District of Louisiana, charged BP with 11 counts of felony manslaughter, one count of felony obstruction of Congress, and violations of the Clean Water and Migratory Bird Treaty Acts.",,http://www.justice.gov/opa/pr/bp-exploration-and-production-inc-agrees-plead-guilty-felony-manslaughter-environmental,,100036,BP,GB0007980591,,20151011,4000000000,0,4000000000,,criminal,,environment-related offenses,environmental violation,,,,,20121115,federal,agency action,,,,,BP,GB0007980591,,
Environmental Protection Agency,EPA,2016,BP EXPLORATION/MOEX/TRANSOCEAN DEEPWATER/TRITON/GULF OF MEXICO OIL SPILL/DEEPWATER HORIZON (NC),,,,,,,,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 9/12/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case).,5650302,BP,GB0007980591,,20220918,3377250000,3377250000,0,04-2010-9036,civil,,environment-related offenses,environmental violation,,,04-2010-9036,,20160404,federal,agency action,,,,,BP,GB0007980591,,
Multistate Attorneys General Case,MULTI-AG,2021,Cardinal Health Inc.,,,,,,"The three major pharmaceutical distributors--McKesson, AmerisourceBergen and Cardinal Health--reached a $21 billion settlement with a group of states to resolve litigation alleging the improper sale of pain medications, contributing to the national opioid epidemic. McKesson agreed to pay 38.1 percent of the total, while AmerisourceBergen paid 31 percent and Cardinal Health 30.9 percent.",,https://ncdoj.gov/attorney-general-josh-stein-announces-26-billion-agreement-with-opioid-distributors-manufacturer/,,3963979,Cardinal Health,US14149Y1082,721371,20210917,6489000000,0,6489000000,,civil,,healthcare-related offenses,off-label or unapproved promotion of medical products,,,,,20210721,state,agency action,,,,,Cardinal Health,US14149Y1082,721371,
,,2018,Syngenta AG,,,,,,Syngenta agreed to pay $1.5 billion to settle multi-district litigation alleging that the introduction of its genetically modified corn caused harm to producers of non-GMO crops.,,https://www.law360.com/articles/1031957/farmers-win-ok-of-1-5b-syngenta-gmo-corn-settlement,,4199955,ChemChina,,,20211216,1510000000,0,1510000000,,civil,,safety-related offenses,product safety violation,,,2:14md2591,,20181207,federal,private litigation,District of Kansas,In Re: Syngenta AG MIR162 Corn Litigation,settlement,https://ecf.ksd.uscourts.gov/cgi-bin/DktRpt.pl?101113,ChemChina,,,
Texas Department of Insurance,TX-INS,2011,Christus Santa Rosa Hospital,San Antonio,,,TX,,workers compensation,,"Texas Workers' Comp January Enforcements Include Fines Up to $68K, Insurance Journal, February 15, 2011 (via Nexis).",,3430456,CHRISTUS Health,,,20200615,6000,0,6000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20110110,state,agency action,,,,,CHRISTUS Health,,,
Texas Department of Insurance,TX-INS,2015,Ace American Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2015.asp?page=2,,3430789,Chubb Limited,CH0044328745,896159,20200615,9900,0,9900,,civil,,consumer-protection-related offenses,insurance violation,,,,,20150813,state,agency action,,,,,Chubb Limited,CH0044328745,896159,
Texas Department of Insurance,TX-INS,2018,Ace American Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2018.asp,,3431206,Chubb Limited,CH0044328745,896159,20200615,9000,0,9000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20181227,state,agency action,,,,,Chubb Limited,CH0044328745,896159,
Texas Department of Insurance,TX-INS,2012,Ace American Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2012.asp?page=4,,3430542,Chubb Limited,CH0044328745,896159,20200615,8500,0,8500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20120104,state,agency action,,,,,Chubb Limited,CH0044328745,896159,
Texas Department of Insurance,TX-INS,2018,Ace American Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2018.asp,,3431185,Chubb Limited,CH0044328745,896159,20200615,7500,0,7500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20181112,state,agency action,,,,,Chubb Limited,CH0044328745,896159,
Texas Department of Insurance,TX-INS,2015,Ace American Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2015.asp?page=2,,3430762,Chubb Limited,CH0044328745,896159,20200615,6000,0,6000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20150515,state,agency action,,,,,Chubb Limited,CH0044328745,896159,
Texas Department of Insurance,TX-INS,2019,Chubb Indemnity Insurance Company,,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc195997.pdf,,3431257,Chubb Limited,CH0044328745,896159,20200615,9500,0,9500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20190626,state,agency action,,,,,Chubb Limited,CH0044328745,896159,
Texas Department of Insurance,TX-INS,2014,Chubb Indemnity Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp,,3430725,Chubb Limited,CH0044328745,896159,20200615,9000,0,9000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20141211,state,agency action,,,,,Chubb Corp.,,20171,"ACE acquired Chubb Corp. in 2016, after which ACE took on the name Chubb Ltd."
Texas Department of Insurance,TX-INS,2013,Chubb Indemnity Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2013.asp?page=2,,3430609,Chubb Limited,CH0044328745,896159,20200615,7000,0,7000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20130617,state,agency action,,,,,Chubb Corp.,,20171,"ACE acquired Chubb Corp. in 2016, after which ACE took on the name Chubb Ltd."
Texas Department of Insurance,TX-INS,2018,Federal Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2018.asp?page=2,,3431101,Chubb Limited,CH0044328745,896159,20200615,7000,0,7000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20180321,state,agency action,,,,,Chubb Limited,CH0044328745,896159,
Texas Department of Insurance,TX-INS,2013,Federal Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2013.asp?page=2,,3430607,Chubb Limited,CH0044328745,896159,20200615,6000,0,6000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20130510,state,agency action,,,,,Chubb Corp.,,20171,"ACE acquired Chubb Corp. later in 2016, after which ACE took on the name Chubb Ltd."
Texas Department of Insurance,TX-INS,2019,Indemnity Insurance Company of North America,,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc195962.pdf,,3431250,Chubb Limited,CH0044328745,896159,20200615,9900,0,9900,,civil,,consumer-protection-related offenses,insurance violation,,,,,20190515,state,agency action,,,,,Chubb Limited,CH0044328745,896159,
Texas Department of Insurance,TX-INS,2015,Indemnity Insurance Company of North America,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2015.asp?page=2,,3430759,Chubb Limited,CH0044328745,896159,20200615,9000,0,9000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20150506,state,agency action,,,,,Chubb Limited,CH0044328745,896159,
